type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,isarch,vntype,haslength
PhysicalObject,49:01.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:237475?seid=4043478. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Mamm:237475,MVZ,28,,MVZ,Mammal specimens,,PreservedSpecimen,,,"total length=294 mm; tail length=145 mm; hind foot with claw=35 mm; ear from notch=26 mm; weight=105.1 g; sex=male ; age=Adult ; reproductive data=Testes position: Scrotal, Testes Size: 20x10",http://arctos.database.museum/guid/MVZ:Mamm:237475?seid=4043478,MVZ:Mamm:237475,2505,Collector(s): Kevin C. Rowe,1,male,Adult,,,,,"whole organism (formalin-fixed, 70% ethanol)",,,,,,collector number=2505,,http://arctos.database.museum/guid/MVZ:Mamm:237475,,,,,<i>Bunomys andrewsi</i> (accepted ID) identified by Kevin C. Rowe on 2016-08-04; method: expert,,,,,8/4/16,,217,217,2016,8,4,4-Aug-16,Lower Montane Forest,,,,,,,"Asia, Indonesia, South Sulawesi, Luwu Regency, Indonesian Archipelago, Sulawesi",Asia,,Indonesian Archipelago,Sulawesi,Indonesia,,South Sulawesi,Luwu Regency,,"Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District","Trapline 01, Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District, Luwu Regency, South Sulawesi, Sulawesi, Indonesia, 1770-2260 el.",1770,2260,,,,,,,Kevin C. Rowe,Elevation determined from Google Earth DEM.,-3.420665,120.094371,not recorded,800,,,,,,,,,Kevin C. Rowe,8/4/16,MaNIS georeferencing guidelines,Garmin GPSmap 62s,accepted,,,,,,,,,,,,,,,,,,,,,A,,Kevin C. Rowe,8/4/16,,expert,,,,Bunomys andrewsi,,,,,"Animalia; Chordata; Mammalia; Rodentia; Muridae; Murinae;  (J. A. Allen, 1911)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Bunomys,,andrewsi,,species,,,,ICZN,,,294,total length,0,105.1,0,,male,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,ondatra@berkeley.edu,Chris Conroy,7/6/19,9/22/19,no migrator,0,0,0,0,0,specimen,1
PhysicalObject,49:02.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:237476?seid=4043479. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Mamm:237476,MVZ,28,,MVZ,Mammal specimens,,PreservedSpecimen,,,total length=274 mm; tail length=137 mm; hind foot with claw=32 mm; ear from notch=23 mm; weight=89 g; sex=female ; age=Adult,http://arctos.database.museum/guid/MVZ:Mamm:237476?seid=4043479,MVZ:Mamm:237476,2518,Collector(s): Kevin C. Rowe,1,female,Adult,,,,,"whole organism (formalin-fixed, 70% ethanol)",,,,,,collector number=2518,,http://arctos.database.museum/guid/MVZ:Mamm:237476,,,,,<i>Bunomys andrewsi</i> (accepted ID) identified by Kevin C. Rowe on 2016-08-05; method: expert,,,,,8/5/16,,218,218,2016,8,5,5-Aug-16,Lower Montane Forest,,,,,,,"Asia, Indonesia, South Sulawesi, Luwu Regency, Indonesian Archipelago, Sulawesi",Asia,,Indonesian Archipelago,Sulawesi,Indonesia,,South Sulawesi,Luwu Regency,,"Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District","Trapline 01, Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District, Luwu Regency, South Sulawesi, Sulawesi, Indonesia, 1770-2260 el.",1770,2260,,,,,,,Kevin C. Rowe,Elevation determined from Google Earth DEM.,-3.420665,120.094371,not recorded,800,,,,,,,,,Kevin C. Rowe,8/5/16,MaNIS georeferencing guidelines,Garmin GPSmap 62s,accepted,,,,,,,,,,,,,,,,,,,,,A,,Kevin C. Rowe,8/5/16,,expert,,,,Bunomys andrewsi,,,,,"Animalia; Chordata; Mammalia; Rodentia; Muridae; Murinae;  (J. A. Allen, 1911)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Bunomys,,andrewsi,,species,,,,ICZN,,,274,total length,0,89,0,,female,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,ondatra@berkeley.edu,Chris Conroy,7/6/19,9/22/19,no migrator,0,0,0,0,0,specimen,1
PhysicalObject,49:02.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:237477?seid=4043480. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Mamm:237477,MVZ,28,,MVZ,Mammal specimens,,PreservedSpecimen,,,"total length=274 mm; tail length=135 mm; hind foot with claw=33 mm; ear from notch=23 mm; weight=79.2 g; sex=male ; age=Adult ; reproductive data=Testes position: Scrotal, Testes Size: 20x9",http://arctos.database.museum/guid/MVZ:Mamm:237477?seid=4043480,MVZ:Mamm:237477,2522,Collector(s): Kevin C. Rowe,1,male,Adult,,,,,"skull; skin, study",,,,,,collector number=2522,,http://arctos.database.museum/guid/MVZ:Mamm:237477,,,,,<i>Bunomys andrewsi</i> (accepted ID) identified by Kevin C. Rowe on 2016-08-05; method: expert,,,,,8/5/16,,218,218,2016,8,5,5-Aug-16,Lower Montane Forest,,,,,,,"Asia, Indonesia, South Sulawesi, Luwu Regency, Indonesian Archipelago, Sulawesi",Asia,,Indonesian Archipelago,Sulawesi,Indonesia,,South Sulawesi,Luwu Regency,,"Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District","Trapline 01, Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District, Luwu Regency, South Sulawesi, Sulawesi, Indonesia, 1770-2260 el.",1770,2260,,,,,,,Kevin C. Rowe,Elevation determined from Google Earth DEM.,-3.420665,120.094371,not recorded,800,,,,,,,,,Kevin C. Rowe,8/5/16,MaNIS georeferencing guidelines,Garmin GPSmap 62s,accepted,,,,,,,,,,,,,,,,,,,,,A,,Kevin C. Rowe,8/5/16,,expert,,,,Bunomys andrewsi,,,,,"Animalia; Chordata; Mammalia; Rodentia; Muridae; Murinae;  (J. A. Allen, 1911)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Bunomys,,andrewsi,,species,,,,ICZN,,,274,total length,0,79.2,0,,male,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,ondatra@berkeley.edu,Chris Conroy,7/6/19,9/22/19,no migrator,0,0,0,0,0,specimen,1
PhysicalObject,49:03.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:237478?seid=4043482. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Mamm:237478,MVZ,28,,MVZ,Mammal specimens,,PreservedSpecimen,,,total length=333 mm; tail length=158 mm; hind foot with claw=38 mm; ear from notch=26 mm; weight=127.9 g; sex=female ; age=adult ; reproductive data=Non-perforate,http://arctos.database.museum/guid/MVZ:Mamm:237478?seid=4043482,MVZ:Mamm:237478,2555,Collector(s): Kevin C. Rowe,1,female,adult,,,,,"skull; skin, study",,,,,,collector number=2555,,http://arctos.database.museum/guid/MVZ:Mamm:237478,,,,,<i>Bunomys andrewsi</i> (accepted ID) identified by Kevin C. Rowe on 2016-08-08; method: expert,,,,,8/8/16,,221,221,2016,8,8,8-Aug-16,Lower Montane Forest,,,,,,,"Asia, Indonesia, South Sulawesi, Luwu Regency, Indonesian Archipelago, Sulawesi",Asia,,Indonesian Archipelago,Sulawesi,Indonesia,,South Sulawesi,Luwu Regency,,"Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District","Trapline 01, Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District, Luwu Regency, South Sulawesi, Sulawesi, Indonesia, 1770-2260 el.",1770,2260,,,,,,,Kevin C. Rowe,Elevation determined from Google Earth DEM.,-3.420665,120.094371,World Geodetic System 1984,800,,-0.028483142,,,decimal degrees,,,,Kevin C. Rowe,8/8/16,MaNIS georeferencing guidelines,Garmin GPSmap 62s,accepted,,,,,,,,,,,,,,,,,,,,,A,,Kevin C. Rowe,8/8/16,,expert,,,,Bunomys andrewsi,,,,,"Animalia; Chordata; Mammalia; Rodentia; Muridae; Murinae;  (J. A. Allen, 1911)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Bunomys,,andrewsi,,species,,,,ICZN,,,333,total length,0,127.9,0,,female,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,ondatra@berkeley.edu,Chris Conroy,7/6/19,9/22/19,no migrator,0,0,0,0,0,specimen,1
PhysicalObject,49:07.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:237479?seid=4043483. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Mamm:237479,MVZ,28,,MVZ,Mammal specimens,,PreservedSpecimen,,,total length=311 mm; tail length=148 mm; hind foot with claw=34 mm; ear from notch=23 mm; weight=40.8 g; sex=male ; age=adult ; reproductive data=Testes position: Abdominal,http://arctos.database.museum/guid/MVZ:Mamm:237479?seid=4043483,MVZ:Mamm:237479,2603,Collector(s): Kevin C. Rowe,1,male,adult,,,,,"skull; skin, study",,,,,,collector number=2603,,http://arctos.database.museum/guid/MVZ:Mamm:237479,,,,,<i>Bunomys andrewsi</i> (accepted ID) identified by Kevin C. Rowe on 2016-08-11; method: expert,,,,,8/11/16,,224,224,2016,8,11,11-Aug-16,Lower Montane Forest,,,,,,,"Asia, Indonesia, South Sulawesi, Luwu Regency, Indonesian Archipelago, Sulawesi",Asia,,Indonesian Archipelago,Sulawesi,Indonesia,,South Sulawesi,Luwu Regency,,"Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District","Trapline 01, Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District, Luwu Regency, South Sulawesi, Sulawesi, Indonesia, 1770-2260 el.",1770,2260,,,,,,,Kevin C. Rowe,Elevation determined from Google Earth DEM.,-3.420665,120.094371,World Geodetic System 1984,800,,-0.028483142,,,decimal degrees,,,,Kevin C. Rowe,8/11/16,MaNIS georeferencing guidelines,Garmin GPSmap 62s,accepted,,,,,,,,,,,,,,,,,,,,,A,,Kevin C. Rowe,8/11/16,,expert,,,,Bunomys andrewsi,,,,,"Animalia; Chordata; Mammalia; Rodentia; Muridae; Murinae;  (J. A. Allen, 1911)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Bunomys,,andrewsi,,species,,,,ICZN,,,311,total length,0,40.8,0,,male,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,ondatra@berkeley.edu,Chris Conroy,7/6/19,9/22/19,no migrator,0,0,0,0,0,specimen,1
PhysicalObject,49:07.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:237480?seid=4043484. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Mamm:237480,MVZ,28,,MVZ,Mammal specimens,,PreservedSpecimen,,,total length=248 mm; tail length=127 mm; hind foot with claw=31 mm; ear from notch=21 mm; weight=56.1 g; sex=female ; age=adult,http://arctos.database.museum/guid/MVZ:Mamm:237480?seid=4043484,MVZ:Mamm:237480,2635,Collector(s): Kevin C. Rowe,1,female,adult,,,,,"whole organism (formalin-fixed, 70% ethanol)",,,,,,collector number=2635,,http://arctos.database.museum/guid/MVZ:Mamm:237480,,,,,<i>Bunomys andrewsi</i> (accepted ID) identified by Kevin C. Rowe on 2016-08-13; method: expert,,,,,8/13/16,,226,226,2016,8,13,13-Aug-16,Upper Montane Forest,,,,,,,"Asia, Indonesia, South Sulawesi, Luwu Regency, Indonesian Archipelago, Sulawesi",Asia,,Indonesian Archipelago,Sulawesi,Indonesia,,South Sulawesi,Luwu Regency,,"Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District","Trapline 02, Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District, Luwu Regency, South Sulawesi, Sulawesi, Indonesia, 2260-2500 el.",2260,2500,,,,,,,Kevin C. Rowe,SITE ID=Gamaru02. Elevation determined from Google Earth DEM.,-3.427516,120.092375,World Geodetic System 1984,250,,-0.028540663,,,decimal degrees,,,,Kevin C. Rowe,8/13/16,MaNIS georeferencing guidelines,Garmin GPSmap 62s,accepted,,,,,,,,,,,,,,,,,,,,,A,,Kevin C. Rowe,8/13/16,,expert,,,,Bunomys andrewsi,,,,,"Animalia; Chordata; Mammalia; Rodentia; Muridae; Murinae;  (J. A. Allen, 1911)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Bunomys,,andrewsi,,species,,,,ICZN,,,248,total length,0,56.1,0,,female,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,ondatra@berkeley.edu,Chris Conroy,7/6/19,9/22/19,no migrator,0,0,0,0,0,specimen,1
PhysicalObject,49:08.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:237481?seid=4043485. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Mamm:237481,MVZ,28,,MVZ,Mammal specimens,,PreservedSpecimen,,,"total length=267 mm; tail length=128 mm; hind foot with claw=32 mm; ear from notch=22 mm; weight=69.1 g; sex=female ; age=adult ; reproductive data=Reproductive Stage: Perforate, Mammae: 2 inguinal",http://arctos.database.museum/guid/MVZ:Mamm:237481?seid=4043485,MVZ:Mamm:237481,2532,Collector(s): Kevin C. Rowe,1,female,adult,,,,,"skull; skin, study",,,,,,collector number=2532,,http://arctos.database.museum/guid/MVZ:Mamm:237481,,,,,<i>Bunomys chrysocomus</i> (accepted ID) identified by Kevin C. Rowe on 2016-08-06; method: expert,,,,,8/6/16,,219,219,2016,8,6,6-Aug-16,Lower Montane Forest,,,,,,,"Asia, Indonesia, South Sulawesi, Luwu Regency, Indonesian Archipelago, Sulawesi",Asia,,Indonesian Archipelago,Sulawesi,Indonesia,,South Sulawesi,Luwu Regency,,"Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District","Trapline 01, Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District, Luwu Regency, South Sulawesi, Sulawesi, Indonesia, 1770-2260 el.",1770,2260,,,,,,,Kevin C. Rowe,Elevation determined from Google Earth DEM.,-3.420665,120.094371,World Geodetic System 1984,800,,-0.028483142,,,decimal degrees,,,,Kevin C. Rowe,8/6/16,MaNIS georeferencing guidelines,Garmin GPSmap 62s,accepted,,,,,,,,,,,,,,,,,,,,,A,,Kevin C. Rowe,8/6/16,,expert,,,,Bunomys chrysocomus,,,,,"Animalia; Chordata; Mammalia; Rodentia; Muridae; Murinae;  (Hoffmann, 1887)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Bunomys,,chrysocomus,,species,,,,ICZN,,,267,total length,0,69.1,0,,female,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,ondatra@berkeley.edu,Chris Conroy,7/6/19,9/22/19,no migrator,0,0,0,0,0,specimen,1
PhysicalObject,50:00.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:237483?seid=4043500. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Mamm:237483,MVZ,28,,MVZ,Mammal specimens,,PreservedSpecimen,,,total length=300 mm; tail length=149 mm; hind foot with claw=35 mm; ear from notch=21 mm; weight=82.8 g; sex=female ; age=adult ; reproductive data=Non-perforate,http://arctos.database.museum/guid/MVZ:Mamm:237483?seid=4043500,MVZ:Mamm:237483,2682,Collector(s): Kevin C. Rowe,1,female,adult,,,,,"whole organism (formalin-fixed, 70% ethanol)",,,,,,collector number=2682,,http://arctos.database.museum/guid/MVZ:Mamm:237483,,,,,<i>Bunomys chrysocomus</i> (accepted ID) identified by Kevin C. Rowe on 2016-08-16; method: expert,,,,,8/16/16,,229,229,2016,8,16,16-Aug-16,Upper Montane Forest,,,,,,,"Asia, Indonesia, South Sulawesi, Luwu Regency, Indonesian Archipelago, Sulawesi",Asia,,Indonesian Archipelago,Sulawesi,Indonesia,,South Sulawesi,Luwu Regency,,"Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District","Trapline 02, Mount Latimojong, Gamaru Village, Ulusalu, Latimojong District, Luwu Regency, South Sulawesi, Sulawesi, Indonesia, 2260-2500 el.",2260,2500,,,,,,,Kevin C. Rowe,SITE ID=Gamaru02. Elevation determined from Google Earth DEM.,-3.427516,120.092375,not recorded,250,,,,,,,,,Kevin C. Rowe,8/16/16,MaNIS georeferencing guidelines,Garmin GPSmap 62s,accepted,,,,,,,,,,,,,,,,,,,,,A,,Kevin C. Rowe,8/16/16,,expert,,,,Bunomys chrysocomus,,,,,"Animalia; Chordata; Mammalia; Rodentia; Muridae; Murinae;  (Hoffmann, 1887)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Bunomys,,chrysocomus,,species,,,,ICZN,,,300,total length,0,82.8,0,,female,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,ondatra@berkeley.edu,Chris Conroy,7/6/19,9/22/19,no migrator,0,0,0,0,0,specimen,1
PhysicalObject,50:01.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:237484?seid=4043501. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Mamm:237484,MVZ,28,,MVZ,Mammal specimens,,PreservedSpecimen,,,"total length=325 mm; tail length=148 mm; hind foot with claw=37 mm; ear from notch=27 mm; weight=134.5 g; sex=male ; age=adult ; reproductive data=Testes position: Scrotal, Testes Size: 30x17",http://arctos.database.museum/guid/MVZ:Mamm:237484?seid=4043501,MVZ:Mamm:237484,1060,Collector(s): Heru Handika,1,male,adult,,,,,"skull; skin, study",,,,,,collector number=1060,,http://arctos.database.museum/guid/MVZ:Mamm:237484,,,,,<i>Bunomys coelestis</i> (accepted ID) identified by Rizaldi Trias Jaya Putra on 2016-10-30; method: expert,,,,,10/30/16,,304,304,2016,10,30,30-Oct-16,Upper Montane Forest,,,,,,,"Asia, Indonesia, South Sulawesi, Indonesian Archipelago, Sulawesi",Asia,,Indonesian Archipelago,Sulawesi,Indonesia,,South Sulawesi,,,"Mount Bawakaraeng, Gunung Perak Village Sinjai Barat District, Sinjai Regency","Bawakaraeng Trapline 4, Mount Bawakaraeng, Gunung Perak Village Sinjai Barat District, Sinjai Regency, South Sulawesi, Sulawesi, Indonesia, 2291-2344 el.",2291,2344,,,,,,,Heru Handika,SITE ID=Bawakaraeng Line 4.,-5.304112,119.950436,not recorded,60,,,,,,,,,Heru Handika,10/3/16,MaNIS georeferencing guidelines,Garmin GPSmap 62sc,accepted,,,,,,,,,,,,,,,,,,,,,A,,Rizaldi Trias Jaya Putra,10/30/16,,expert,,,,Bunomys coelestis,,,,,"Animalia; Chordata; Mammalia; Rodentia; Muridae; Murinae;  (Thomas, 1896)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Bunomys,,coelestis,,species,,,,ICZN,,,325,total length,0,134.5,0,,male,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,ondatra@berkeley.edu,Chris Conroy,7/6/19,9/22/19,no migrator,0,0,0,0,0,specimen,1
PhysicalObject,50:01.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:237485?seid=4043502. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Mamm:237485,MVZ,28,,MVZ,Mammal specimens,,PreservedSpecimen,,,"total length=321 mm; tail length=162 mm; hind foot with claw=38 mm; ear from notch=26 mm; weight=118.2 g; sex=male ; age=adult ; reproductive data=Testes position: Scrotal, Testes Size: 34x16",http://arctos.database.museum/guid/MVZ:Mamm:237485?seid=4043502,MVZ:Mamm:237485,971,Collector(s): Heru Handika,1,male,adult,,,,,"whole organism (formalin-fixed, 70% ethanol)",,,,,,collector number=971,,http://arctos.database.museum/guid/MVZ:Mamm:237485,,,,,<i>Bunomys coelestis</i> (accepted ID) identified by Heru Handika on 2016-10-22; method: expert,,,,,10/22/16,,296,296,2016,10,22,22-Oct-16,Upper Montane Forest,,,,,,,"Asia, Indonesia, South Sulawesi, Indonesian Archipelago, Sulawesi",Asia,,Indonesian Archipelago,Sulawesi,Indonesia,,South Sulawesi,,,"Mount Bawakaraeng, Gunung Perak Village Sinjai Barat District, Sinjai Regency","Bawakaraeng Trapline 4, Mount Bawakaraeng, Gunung Perak Village Sinjai Barat District, Sinjai Regency, South Sulawesi, Sulawesi, Indonesia, 2291-2344 el.",2291,2344,,,,,,,Heru Handika,SITE ID=Bawakaraeng Line 4.,-5.304112,119.950436,not recorded,60,,,,,,,,,Heru Handika,10/22/16,MaNIS georeferencing guidelines,Garmin GPSmap 62sc,accepted,,,,,,,,,,,,,,,,,,,,,A,,Heru Handika,10/22/16,,expert,,,,Bunomys coelestis,,,,,"Animalia; Chordata; Mammalia; Rodentia; Muridae; Murinae;  (Thomas, 1896)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Bunomys,,coelestis,,species,,,,ICZN,,,321,total length,0,118.2,0,,male,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2019-07-06)",0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,ondatra@berkeley.edu,Chris Conroy,7/6/19,9/22/19,no migrator,0,0,0,0,0,specimen,1
